;Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;Div Br/ Patrim;Dív. Líquida;Patrim. Líq
VALE3;VALE3;Vale;Mineração;Minerais Metálicos;4.3;102.0;Novo Mercado;100% ON;76,48% ON;1970.0;1943.0;26.432432209113;992.0;1834162724.21;6.31;0.8571428571428571;2019.0;0.0885517739564041;0.67;1.58;0.0326941090638657;40.12;1.0;;-0.0101613079433241;31.07;23.03;0.8823529411764706;2019.0;0.0154499891043786;5.46;1.08;-0.0777045705860519;0.78;0.0103923570595074;0.26;-0.0406538139144951;0.56;0.0175636480825023;0.37;50121000000.0;190172000000.0
ITUB4;ITUB4;Banco Itaú;Intermediários Financeiros;Bancos;4.9;157.0;Nível 1;80% ON - 80% PN;9,08% ON - 87,46% PN - 47,82% Total;2002.0;1943.0;21.02078784595;456.0;860035044.41;10.99;1.0;;-0.0116844204055985;0.14;1.9;-0.0006839059558554;30.03;1.0;;-0.0397915027537457;9.92;8.3;1.0;;0.2319249934874518;8.57;;0.079203334877246;;;;;0.92;0.0014387339141557;;;182505000000.0
BBDC4;BBDC4;Banco Bradesco;Intermediários Financeiros;Bancos;4.2;124.0;Nível 1;100% ON - 80% PN;28,49% ON - 97,72% PN - 63,05% Total;1977.0;1943.0;31.18892637332;576.0;793480394.06;10.74;1.0;;-0.0912752972103383;0.08;0.89;-0.0100118628152183;30.94;1.0;;-0.0219962177399583;3.95;6.18;1.0;;-0.0251704768125361;15.98;11.4;0.1746852670976852;;;;;0.91;0.0033346198379009;;;161182000000.0
BBAS3;BBAS3;Banco do Brasil;Intermediários Financeiros;Bancos;4.7;122.0;Novo Mercado;100% ON;49,59% ON;1977.0;1808.0;22.589095359837;688.0;500503101.5;5.1;1.0;;0.060373089336571;0.08;1.03;0.056506588271167;32.66;1.0;;0.0071227942092602;15.94;12.4;1.0;;-0.004981099667536;3.97;14.76;-0.0816276632902549;;;;;0.92;-0.0028886168910647;;;163638000000.0
B3SA3;B3SA3;B3;Serviços Financeiros Diversos;Serviços Financeiros Diversos;4.6;136.0;Novo Mercado;100% ON;72,14% ON;2008.0;2007.0;33.124567973705;373.0;452366870.76;17.31;1.0;;0.0296183931325413;1.53;3.61;-0.0941589211666865;85.66;1.0;;-0.0100587641423501;51.52;40.19;1.0;;-0.0230453535575205;12.89;1.46;-0.0429074446680077;-0.62;-0.2349167822468678;-0.17;0.031072106261857;0.58;0.0564112903226006;0.57;-3353960000.0;20233800000.0
PRIO3;PRIO3;PRIO;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;4.7;169.0;Novo Mercado;100% ON;83,24% ON;2010.0;2008.0;35.623170571232;358.0;409414339.32;9.03;0.7142857142857143;2014.0;0.1980304425031811;1.44;3.19;0.3091397903718385;62.28;0.875;2016.0;0.0391473194817109;55.18;44.93;0.625;2014.0;0.5396556831312824;8.83;1.32;0.4102321188777498;1.48;0.1848426315191331;0.64;0.1851338873499561;0.55;0.0589557650471332;0.82;8296450000.0;12901100000.0
RENT3;RENT3;Localiza;Diversos;Aluguel de carros;4.3;55.0;Novo Mercado;100% ON;79,91% ON;2005.0;1973.0;30.598178854594;147.0;391438120.56;37.36;1.0;;0.0044344180052342;0.78;2.29;0.064277025283894;29.04;1.0;;0.0100410629890743;19.78;5.75;1.0;;0.0027966354653785;16.16;1.02;-0.0079931030235832;5.31;0.0376120309889116;1.12;-0.0032894736842106;0.66;-0.0038863976083705;1.46;28226600000.0;25191500000.0
BPAC11;BPAC11;BTG Pactual;Intermediários Financeiros;Bancos;4.3;38.0;Nível 2;100% ON - 100% PN - 100% UNIT;15,88% ON - 54,00% PN - 30,00% Total;2011.0;1979.0;31.397614027522;165.0;282764620.62;16.19;1.0;;-0.0052126496835183;0.34;3.0;-0.0131196474945564;19.88;0.8125;2020.0;-0.0612838192873141;23.13;19.91;1.0;;-0.0030945396879571;13.93;1.02;-19.06886517938153;;;;;0.89;-0.001273138453807;;;49381800000.0
EQTL3;EQTL3;Equatorial;Energia Elétrica;Energia Elétrica;4.6;145.0;Novo Mercado;100% ON;72,34% ON;2006.0;1999.0;21.822156752965;86.0;257245419.68;21.12;1.0;;0.0207328870080503;0.4;2.01;0.0094428110581634;30.07;1.0;;-0.0063649613872129;19.86;4.94;1.0;;-0.0046678100067107;10.06;1.19;-0.0045449165923366;4.8;0.0250386831934761;1.83;0.0474474978452978;0.77;0.0143573028226795;2.31;35887400000.0;19573900000.0
ABEV3;ABEV3;Ambev;Bebidas;Cervejas e Refrigerantes;4.4;130.0;Tradicional;80% ON;27,98% ON;2013.0;2005.0;18.953382639405;319.0;250732797.74;13.42;1.0;;0.0268128957164819;1.47;2.24;0.0594565288543471;50.3;1.0;;-0.0365652396972566;22.59;18.29;1.0;;-0.0460905614294461;10.12;1.11;0.0315936825189491;-0.75;0.2148981019067914;-0.15;0.1576698476000138;0.34;-0.026323005209766;0.04;-13923400000.0;90254900000.0
LREN3;LREN3;Lojas Renner;Comércio;Tecidos, Vestuário e Calçados;4.2;137.0;Novo Mercado;100% ON;89,13% ON;1977.0;1965.0;46.44912137196;216.0;228796911.44;15.26;1.0;;-0.3938549201459689;0.71;1.45;-0.0261855868360946;60.17;1.0;;0.0058791728070735;6.85;6.95;1.0;;-0.0020852592654848;14.27;1.7;0.0038427561837464;-1.21;0.1549575533304519;-0.11;0.6489955357144079;0.51;-0.0088415734391901;0.22;-1112990000.0;9765090000.0
ITSA4;ITSA4;Itaúsa;Intermediários Financeiros;Bancos;4.3;62.0;Nível 1;80% ON - 80% PN;9,56% ON - 74,41% PN - 52,12% Total;1977.0;1966.0;19.262265612907;181.0;195821479.85;8.12;1.0;;0.0153562485432954;1.09;1.41;0.0145990152080157;33.55;1.0;;-0.0247872693115248;205.76;186.19;1.0;;0.0367896486784582;7.55;1.65;0.9694142654698956;0.19;0.0096741344195512;0.04;0.2418660086985451;0.18;1.1677631578945769;0.14;2824000000.0;79738000000.0
GGBR4;GGBR4;Gerdau;Siderurgia e Metalurgia;Siderurgia;4.0;30.0;Nível 1;100% ON - 100% PN;2,45% ON - 89,22% PN - 59,57% Total;1980.0;1961.0;27.574183469646;291.0;198907679.0;4.62;0.7857142857142857;2017.0;0.0817664385635263;0.49;0.74;-0.01430828206602;17.5;1.0;;0.0208847429553933;16.69;11.27;0.8125;2017.0;0.0678636024716228;3.51;2.93;-0.0014828155485516;0.45;0.935888122048667;0.11;-0.16018174308136;0.34;-0.0224141098658799;0.23;5475410000.0;50600900000.0
RADL3;RADL3;RaiaDrogasil;Comércio e Distribuição;Medicamentos e Outros Produtos;4.8;134.0;Novo Mercado;100% ON;74,06% ON;1977.0;1935.0;23.087780714443;80.0;199264434.76;40.78;1.0;;0.0165280181982201;2.27;7.69;-0.1364748604806364;29.98;1.0;;0.0131412874006966;6.28;3.28;1.0;;-0.0091694707861736;22.52;1.47;-0.0409898013595362;1.2;0.1195248584015333;0.43;0.1004243281471102;0.7;0.0370710784313685;0.54;2484940000.0;5721820000.0
SUZB3;SUZB3;Suzano Papel;Madeira e Papel;Papel e Celulose;4.1;35.0;Novo Mercado;100% ON;54,19% ON;1992.0;1987.0;24.645000814342;279.0;183539313.65;4.12;0.5714285714285714;2020.0;0.1069069949541028;0.5;1.68;0.0324146256582538;42.65;1.0;;0.0346984114996375;37.39;38.93;0.625;2020.0;0.0709506196058624;7.85;2.82;0.0173447083237259;3.55;-0.0470896539331158;1.39;0.0597513793182387;0.7;0.0224968654844999;1.88;58077300000.0;41762300000.0
WEGE3;WEGE3;Weg;Máquinas e Equipamentos;Motores, Compressores e Outros;4.9;326.0;Novo Mercado;100% ON;35,37% ON;1982.0;1961.0;24.472950936171;207.0;181915357.76;28.94;1.0;;0.0026206317446131;4.78;8.92;-0.0723074704631706;31.56;1.0;;-0.0049499264211377;18.8;15.7;1.0;;0.0145600591836463;23.69;1.86;-0.0109749561488994;-0.48;0.0885638297872315;-0.18;0.0881220379146983;0.45;-0.0189308318264006;0.18;-2874740000.0;16123000000.0
BBSE3;BBSE3;BB Seguridade;Previdência e Seguros;Seguradoras;4.4;67.0;Novo Mercado;100% ON;33,59% ON;2013.0;2012.0;18.606257496294;176.0;176552907.68;8.65;1.0;;0.0542215162645982;4.08;6.21;0.0219002116574917;;;;;;;;;;7.63;1.61;-0.0326155794806749;;;;;0.34;0.0336159017831012;;0.0;9816480000.0
ARZZ3;ARZZ3;Arezzo;Comércio;Tecidos, Vestuário e Calçados;4.7;137.0;Novo Mercado;100% ON;54,88% ON;2011.0;1972.0;43.652907861112;92.0;169634676.88;17.42;1.0;;0.0627202814826819;1.19;2.32;0.0745471031594893;53.6;1.0;;0.0176344014784839;11.5;8.13;1.0;;-0.0363045290358405;13.13;1.23;-0.1075043809916435;0.82;0.2177400237061051;0.16;0.3184659090908226;0.48;0.0226331594752686;0.38;448935000.0;2891400000.0
SOMA3;SOMA3;Grupo Soma;Comércio;Tecidos, Vestuário e Calçados;4.4;80.0;Novo Mercado;100% ON;46,71% ON;2020.0;2008.0;53.344633405484;94.0;119697221.12;18.31;0.8;2020.0;0.2139683421271667;0.52;0.73;0.123617821012931;56.57;1.0;;-0.025179237659677;8.12;5.86;0.875;2020.0;-0.0302663438256692;15.92;1.76;0.0237310093039693;2.72;0.0544199628351524;0.15;-2.875000000000133;0.29;-0.2775041050903283;0.17;1153130000.0;7637750000.0
TOTS3;TOTS3;Totvs;Programas e Serviços;Programas e Serviços;4.4;63.0;Novo Mercado;100% ON;67,66% ON;2006.0;1983.0;31.603440877438;64.0;111461573.71;25.06;1.0;;-0.0339201030438193;2.19;4.07;0.0192961595814307;70.36;1.0;;0.0035696109644811;17.31;18.09;1.0;;0.0085242621310663;24.35;2.97;0.0028096291825918;-1.84;0.1047886323268163;-0.29;0.1138447971781393;0.43;-0.0052377892030847;0.37;-1385100000.0;4720570000.0
VIVT3;VIVT3;Telefônica Brasil;Telecomunicações;Telecomunicações;4.2;67.0;Tradicional;80% ON - 0% PN;21,41% ON;1998.0;1998.0;18.844243905625;85.0;104936691.91;17.95;1.0;;-0.0887155548511534;0.73;1.26;-0.0360628765396466;42.85;1.0;;-0.0022596457938017;14.76;9.61;1.0;;-0.0262593578280249;13.46;0.92;-0.0093663765654842;1.76;0.0619204756190758;0.19;0.0433212996389931;0.42;-0.004900644468314;0.26;13197800000.0;69269900000.0
TIMS3;TIMS3;TIM;Telecomunicações;Telecomunicações;4.1;33.0;Novo Mercado;100% ON;33,40% ON;2020.0;1998.0;20.552126808202;30.0;107302023.0;18.59;1.0;;-0.0724755644859049;0.76;1.67;0.0616372985330402;51.02;1.0;;0.0066029570663077;17.14;9.81;1.0;;0.0331613320256796;10.73;0.79;-0.0244841023425755;0.1;-0.5735995232421502;0.02;-0.0336265084884466;0.54;-0.0122767857142872;0.14;-1265480000.0;26015900000.0
HYPE3;HYPE3;Hypera Pharma;Comércio e Distribuição;Medicamentos e Outros Produtos;4.7;133.0;Novo Mercado;100% ON;48,02% ON;2008.0;2001.0;29.333595215155;90.0;95283363.5;11.72;0.9230769230769232;2011.0;0.0711216539840955;0.85;1.82;0.0315395461727932;63.15;1.0;;0.0027855396914802;32.88;21.6;0.9375;2011.0;0.0473389134365471;10.53;1.89;-0.0036270093326919;2.83;-0.0165881891308632;0.67;0.0540353307931955;0.53;0.0041568890378809;0.86;7620950000.0;11388400000.0
MULT3;MULT3;Multiplan;Exploração de Imóveis;Exploração de Imóveis;4.7;95.0;Nível 2;100% ON - 100% PN;40,00% ON;2007.0;2005.0;24.400397876274;66.0;90689191.24;16.32;1.0;;-0.0556211895071345;1.44;2.26;-0.1000133862679586;92.65;1.0;;0.0036359257293492;74.87;48.73;1.0;;0.0232184255092071;11.92;1.12;-0.0613643628924063;1.3;0.0509016981583392;0.28;0.045933658865126;0.36;0.0130709768095573;0.46;1990920000.0;6933920000.0
GOAU4;GOAU4;Metalúrgica Gerdau;Siderurgia e Metalurgia;Siderurgia;4.1;19.0;Nível 1;100% ON - 100% PN;12,46% ON - 74,23% PN - 52,39% Total;1968.0;1901.0;25.679666841247;87.0;81000418.79;3.78;0.7857142857142857;2017.0;0.0991995363194744;0.13;0.58;-0.0822371999808242;17.5;1.0;;0.0208847429553933;16.6;3.8;0.8125;2017.0;0.0719591045960688;1.25;3.02;0.0031937648334261;0.38;0.6280729897735462;0.25;-0.1918760195758894;0.33;-0.0326091063669027;0.64;4498200000.0;17948100000.0
VIVA3;VIVA3;Vivara;Tecidos, Vestuário e Calçados;Acessórios;4.7;134.0;Novo Mercado;100% ON;54,59% ON;2019.0;2019.0;34.035118654208;28.0;78675186.5;20.51;1.0;;0.0882177035181444;2.6;4.19;0.121567809416174;69.55;1.0;;-0.0015706263856946;21.53;18.65;1.0;;-0.115400843881856;17.92;3.01;0.0251748251748262;0.15;1.1472140762463292;0.04;0.9428571428570732;0.38;-0.0323529411764745;0.15;67547500.0;1876600000.0
KLBN11;KLBN11;Klabin;Madeira e Papel;Papel e Celulose;4.2;86.0;Nível 2;100% ON - 100% PN - 100% UNIT;36,08% ON - 73,65% PN - 59,73% Total;1997.0;1978.0;22.043036522842;147.0;68025082.21;8.49;0.8571428571428571;2020.0;0.0351779481554748;0.47;2.19;-0.6715641851699308;39.1;1.0;;0.0129609183736434;24.14;15.48;0.875;2020.0;0.0226921435683506;10.09;2.16;0.0005334946650534;4.65;-0.6223531450356801;1.87;0.0576493638316426;0.74;0.0179354043826451;2.71;20626400000.0;11585100000.0
VAMO3;VAMO3;Vamos;Diversos;Aluguel de carros;4.5;115.0;Novo Mercado;100% ON;39,23% ON;2019.0;2015.0;47.588508814477;69.0;51284212.88;14.6;1.0;;0.0720959575793434;0.49;1.93;0.1287009877858169;44.4;1.0;;0.0005535660588831;34.31;10.72;1.0;;-0.1015132763276379;8.8;2.03;0.1016094324396923;4.23;0.0105353829843632;1.79;-0.0395271518285819;0.75;1.577215657312169;2.13;8751900000.0;4878780000.0
CPFE3;CPFE3;CPFL Energia;Energia Elétrica;Energia Elétrica;4.4;56.0;Novo Mercado;100% ON;16,29% ON;2000.0;1998.0;21.427098461308;50.0;65692560.71;7.79;1.0;;0.0615947876032136;0.57;2.3;0.0317270588422782;33.17;1.0;;-0.0034070660610425;28.29;13.44;1.0;;0.0130688108945964;5.42;0.85;-0.0168235447919717;1.72;-0.056744263755847;1.07;-0.0256763863729276;0.74;0.0057792144186497;1.38;19425900000.0;18172700000.0
